chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL31340,ChEMBL_CHEMBL31340,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990414,2025-09-05 06:28:14.990415
CHEMBL281467,ChEMBL_CHEMBL281467,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990439,2025-09-05 06:28:14.990439
CHEMBL281673,ChEMBL_CHEMBL281673,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990464,2025-09-05 06:28:14.990465
CHEMBL282731,CICHORIC ACID,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990489,2025-09-05 06:28:14.990490
CHEMBL279758,ChEMBL_CHEMBL279758,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990515,2025-09-05 06:28:14.990515
CHEMBL31044,ChEMBL_CHEMBL31044,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990540,2025-09-05 06:28:14.990540
CHEMBL29830,ChEMBL_CHEMBL29830,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990565,2025-09-05 06:28:14.990565
CHEMBL31086,ChEMBL_CHEMBL31086,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990592,2025-09-05 06:28:14.990592
CHEMBL431694,ChEMBL_CHEMBL431694,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990620,2025-09-05 06:28:14.990620
CHEMBL30460,ChEMBL_CHEMBL30460,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990646,2025-09-05 06:28:14.990646
